Position,Track Name,Artist,URL
1,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
2,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP
3,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",Julie and the Phantoms Cast,https://open.spotify.com/track/1e2ofLpE40cjEeMENP7pzv
4,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
5,This Side of Paradise,Coyote Theory,https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i
6,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
7,Bon voyage,YooA,https://open.spotify.com/track/4X95Ecd1elHxTccGOko02c
8,M to the B,Millie B,https://open.spotify.com/track/1meosvrJFk4xXo1HwUIasC
9,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
10,THICK,DJ Chose,https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie
11,Deep End,Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
12,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
13,Onna Come Up,Lil Eazzyy,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
14,Melukis Senja,Budi Doremi,https://open.spotify.com/track/0ZEYRVISCaqz5yamWZWzaA
15,Mood (feat. Iann Dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
16,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
17,Dynamite,BTS,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
18,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe
19,At My Worst,Pink Sweat$,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
20,Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
21,Se Te Nota (with Guaynaa),Lele Pons,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
22,Upside Down,JVKE,https://open.spotify.com/track/614OkajfRPH8V0ugNQnduP
23,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI
24,What You Know Bout Love,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
25,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az
26,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
27,Kabilang Buhay,Bandang Lapis,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG
28,Lose,NIKI,https://open.spotify.com/track/5vPO5ouEv8iedKWxzmSv7b
29,Só Você,MC Rogerinho,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
30,Melbourne,Morvasu,https://open.spotify.com/track/0nYZ6GR0fCPmxqjPOaPGjJ
31,Never Change,Dustystaytrue,https://open.spotify.com/track/1d6XDNrd6AjQiGHHVnTrfv
32,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
33,Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
34,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i
35,Romance Desapegado,Conde do Forró,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
36,Relación - Remix,Sech,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
37,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
38,Sofia,Clairo,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
39,Pegao / Me Miro y La Mire (TikTok Hit),Omega,https://open.spotify.com/track/4Pzk85DqWoLqptyA5IlhLk
40,Cuek,Rizky Febian,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
41,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
42,Wolves (feat. Post Malone),Big Sean,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
43,Bande organisée,Jul,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT
44,Sana Ne,Bedo,https://open.spotify.com/track/46nUIq8brEPcaFAsBow4Ex
45,Bahasa Kalbu,Raisa,https://open.spotify.com/track/7c98gah3Qah9o76kgkzfrV
46,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
47,Dargın,Zeynep Bastık,https://open.spotify.com/track/0y4qZpjvskqgvPY5Wc1mJU
48,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
49,This Is Halloween,The Citizens of Halloween,https://open.spotify.com/track/0yURuYmnz9tl4K04e5Y6aQ
50,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
